exercise_name,action,excel_original_name,exercise_name_diff,force_diff,equipment_diff,mechanic_diff,difficulty_diff,advanced_isolated_muscles_diff
Dumbbell Front Raise,update,Dumbbell Front Raise,,push -> Push,dumbbell -> Dumbbells,isolation -> Isolation,novice -> Beginner,anterior deltoid -> Anterior Deltoid
Dumbbell Seated Rear Delt Fly,update,Dumbbell Seated Rear Delt Fly,,,dumbbell -> Dumbbells,,novice -> Beginner,posterior deltoid -> Posterior Deltoid
Barbell Bent Over Row,update,Barbell Bent Over Row,,pull -> Pull,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,
Single Leg Glute Bridge,insert,Single Leg Glute Bridge,,,None -> Bodyweight,,None -> Beginner,
Barbell Wrist Curl,update,Barbell Wrist Curl,,,barbell -> Barbell,,novice -> Beginner,
Machine Roll Outs,update,Machine Roll Outs,,,machine -> Machine,,intermediate -> Intermediate,
Barbell Incline Bench Press,update,Barbell Incline Bench Press,,push -> Push,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,pectoralis major clavicular -> Chest
Kettlebell Skull Crusher,insert,Kettlebell Skull Crusher,,,None -> Kettlebells,,None -> Intermediate,
Kettlebell Situp,update,Kettlebell Situp,,,kettlebell -> Kettlebells,,beginner -> Beginner,
Kettlebell Russian Twist,update,Kettlebell Russian Twist,,,kettlebell -> Kettlebells,,novice -> Beginner,obliques -> Obliques
Kettlebell Wood Chopper,update,Kettlebell Wood Chopper,,pull -> Pull,kettlebell -> Kettlebells,isolation -> Isolation,beginner -> Beginner,obliques -> Obliques
Kettlebell Windmill,update,Kettlebell Windmill,,push -> Push,kettlebell -> Kettlebells,isolation -> Isolation,advanced -> Advanced,obliques -> Obliques
Kettlebell Goblet Curl,update,Kettlebell Goblet Curl,,,kettlebell -> Kettlebells,,novice -> Beginner,
Kettlebell Concentration Curl,update,Kettlebell Concentration Curl,,pull -> Pull,kettlebell -> Kettlebells,isolation -> Isolation,intermediate -> Intermediate,
Kettlebell Preacher Curl,update,Kettlebell Preacher Curl,,pull -> Pull,kettlebell -> Kettlebells,isolation -> Isolation,intermediate -> Intermediate,None -> Short Head Bicep
Kettlebell Single Leg Calf Raise,update,Kettlebell Single Leg Calf Raise,,push -> Push,kettlebell -> Kettlebells,isolation -> Isolation,beginner -> Beginner,
Kettlebell Calf Raise,update,Kettlebell Calf Raise,,,kettlebell -> Kettlebells,,novice -> Beginner,gastrocnemius -> Gastrocnemius
Kettlebell Seated Calf Raise,update,Kettlebell Seated Calf Raise,,push -> Push,kettlebell -> Kettlebells,isolation -> Isolation,novice -> Beginner,
Kettlebell Chest Press (Single),insert,Kettlebell Chest Press (Single),,None -> Push,None -> Kettlebells,None -> Compound,None -> Beginner,None -> Chest
Kettlebell Single Arm Chest Fly,insert,Kettlebell Single Arm Chest Fly,,,None -> Kettlebells,,None -> Beginner,None -> Chest
Kettlebell Single Arm Press,insert,Kettlebell Single Arm Press,,None -> Push,None -> Kettlebells,None -> Compound,None -> Beginner,None -> Chest
Kettlebell Walkover Pushup,insert,Kettlebell Walkover Pushup,,None -> Push,None -> Kettlebells,None -> Compound,None -> Advanced,None -> Chest
Kettlebell Farmers Carry,update,Kettlebell Farmers Carry,,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,beginner -> Beginner,
Kettlebell Wrist Extension,insert,Kettlebell Wrist Extension,,,None -> Kettlebells,,None -> Beginner,
Kettlebell Wrist Curl,insert,Kettlebell Wrist Curl,,,None -> Kettlebells,,None -> Beginner,
Kettlebell Glute Bridge,update,Kettlebell Glute Bridge,,,kettlebell -> Kettlebells,,novice -> Beginner,
Kettlebell Single Leg Glute Bridge,insert,Kettlebell Single Leg Glute Bridge,,,None -> Kettlebells,,None -> Intermediate,
Kettlebell Hip Thrust,update,Kettlebell Hip Thrust,,,kettlebell -> Kettlebells,,novice -> Beginner,
Kettlebell Single Leg Hip Thrust,update,Kettlebell Single Leg Hip Thrust,,,kettlebell -> Kettlebells,,advanced -> Advanced,
Kettlebell Deadlift (Single),update,Kettlebell Deadlift (Single),,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,beginner -> Beginner,gluteus maximus -> Traps (mid-back)
Kettlebell Swing,update,Kettlebell Swing,,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,intermediate -> Intermediate,
Kettlebell Row (Single),update,Kettlebell Row (Single),,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,beginner -> Beginner,latissimus-dorsi -> Traps (mid-back)
Kettlebell Single Leg Deadlift,update,Kettlebell Single Leg Deadlift,,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,advanced -> Advanced,
Kettlebell Shoulder Extension,update,Kettlebell Shoulder Extension,,,kettlebell -> Kettlebells,,intermediate -> Intermediate,
Kettlebell Staggered Deadlift (Single),update,Kettlebell Staggered Deadlift (Single),,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,beginner -> Beginner,
Kettlebell Goblet Good Morning,update,Kettlebell Goblet Good Morning,,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,novice -> Beginner,
Kettlebell Rear Delt Row,update,Kettlebell Rear Delt Row,,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,novice -> Beginner,posterior deltoid -> Posterior Deltoid
Kettlebell Front Raise,update,Kettlebell Front Raise,,push -> Push,kettlebell -> Kettlebells,isolation -> Isolation,novice -> Beginner,anterior deltoid -> Anterior Deltoid
Kettlebell Single Arm Rear Delt Fly,update,Kettlebell Single Arm Rear Delt Fly,,,kettlebell -> Kettlebells,,intermediate -> Intermediate,posterior deltoid -> Posterior Deltoid
Kettlebell Single Arm Curl,update,Kettlebell Single Arm Curl,,,kettlebell -> Kettlebells,,beginner -> Beginner,
Kettlebell Standing Tricep Extension,update,Kettlebell Standing Tricep Extension,,push -> Push,kettlebell -> Kettlebells,isolation -> Isolation,novice -> Beginner,
Kettlebell Decline Skull Crusher,insert,Kettlebell Decline Skull Crusher,,None -> Push,None -> Kettlebells,None -> Isolation,None -> Advanced,
Kettlebell Single Arm Row,update,Kettlebell Single Arm Row,,pull -> Pull,kettlebell -> Kettlebells,compound -> Compound,novice -> Beginner,
Kettlebell Pullover,update,Kettlebell Pullover,,,kettlebell -> Kettlebells,,advanced -> Advanced,
Kettlebell Long Lever Lateral Raise,update,Kettlebell Long Lever Lateral Raise,,,kettlebell -> Kettlebells,,intermediate -> Intermediate,lateral deltoid -> Lateral Deltoid
Kettlebell Single Arm Lateral Raise,update,Kettlebell Single Arm Lateral Raise,,,kettlebell -> Kettlebells,,beginner -> Beginner,lateral deltoid -> Lateral Deltoid
Kettlebell Shrug (Single),update,Kettlebell Shrug (Single),,pull -> Pull,kettlebell -> Kettlebells,isolation -> Isolation,novice -> Beginner,
Kettlebell Upright Row,update,Kettlebell Upright Row,,pull -> Pull,kettlebell -> Kettlebells,isolation -> Isolation,novice -> Beginner,anterior deltoid -> Lateral Deltoid
Kettlebell Silverback Shrug (Single),update,Kettlebell Silverback Shrug (Single),,None -> Pull,kettlebell -> Kettlebells,None -> Isolation,beginner -> Beginner,upper trapezius -> Traps (mid-back)
Kettlebell Incline Shrug,update,Kettlebell Incline Shrug,,pull -> Pull,kettlebell -> Kettlebells,isolation -> Isolation,beginner -> Beginner,None -> Traps (mid-back)
Kettlebell Step Up,update,Kettlebell Step Up,,push -> Push,kettlebell -> Kettlebells,compound -> Compound,beginner -> Beginner,
Kettlebell Goblet Squat,update,Kettlebell Goblet Squat,,push -> Push,kettlebell -> Kettlebells,compound -> Compound,novice -> Beginner,
Kettlebell Heels Up Goblet Squat,update,Kettlebell Heels Up Goblet Squat,,push -> Push,kettlebell -> Kettlebells,compound -> Compound,novice -> Beginner,
Kettlebell Single Arm Reverse Lunge,update,Kettlebell Single Arm Reverse Lunge,,push -> Push,kettlebell -> Kettlebells,compound -> Compound,beginner -> Beginner,
Kettlebell Single Arm Forward Lunge,update,Kettlebell Single Arm Forward Lunge,,push -> Push,kettlebell -> Kettlebells,compound -> Compound,beginner -> Beginner,
Kettlebell Lateral Lunge (Single),update,Kettlebell Lateral Lunge (Single),,push -> Push,kettlebell -> Kettlebells,compound -> Compound,intermediate -> Intermediate,quadriceps -> Gluteus Medius
Kettlebell Tate Press,insert,Kettlebell Tate Press,,,None -> Kettlebells,,None -> Intermediate,
Biceps Stretch Variation Five,insert,Biceps Stretch Variation Five,,None -> Hold,None -> Stretches,None -> Isolation,None -> Beginner,
Biceps Stretch Variation Four,insert,Biceps Stretch Variation Four,,None -> Hold,None -> Stretches,None -> Isolation,None -> Beginner,
Biceps Stretch Variation Three,insert,Biceps Stretch Variation Three,,None -> Hold,None -> Stretches,None -> Isolation,None -> Beginner,
Biceps Stretch Variation Two,insert,Biceps Stretch Variation Two,,None -> Hold,None -> Stretches,None -> Isolation,None -> Beginner,
Biceps Stretch Variation One,insert,Biceps Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Chest Stretch Variation Four,insert,Chest Stretch Variation Four,,,None -> Stretches,,None -> Beginner,None -> Chest
Chest Stretch Variation Three,insert,Chest Stretch Variation Three,,,None -> Stretches,,None -> Beginner,None -> Chest
Chest Stretch Variation Two,insert,Chest Stretch Variation Two,,,None -> Stretches,,None -> Beginner,None -> Chest
Chest Stretch Variation One,insert,Chest Stretch Variation One,,,None -> Stretches,,None -> Beginner,None -> Chest
Quads Stretch Variation Four,insert,Quads Stretch Variation Four,,,None -> Stretches,,None -> Beginner,
Quads Stretch Variation Three,insert,Quads Stretch Variation Three,,,None -> Stretches,,None -> Beginner,
Quads Stretch Variation Two,insert,Quads Stretch Variation Two,,,None -> Stretches,,None -> Beginner,
Quads Stretch Variation One,insert,Quads Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Traps Stretch Variation Three,insert,Traps Stretch Variation Three,,,None -> Stretches,,None -> Beginner,
Traps Stretch Variation Two,insert,Traps Stretch Variation Two,,,None -> Stretches,,None -> Beginner,
Traps Stretch Variation One,insert,Traps Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Triceps Stretch Variation Three,insert,Triceps Stretch Variation Three,,,None -> Stretches,,None -> Beginner,
Triceps Stretch Variation Two,insert,Triceps Stretch Variation Two,,,None -> Stretches,,None -> Beginner,
Triceps Stretch Variation One,insert,Triceps Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Shoulders Stretch Variation Four,insert,Shoulders Stretch Variation Four,,None -> Hold,None -> Stretches,None -> Isolation,None -> Beginner,None -> Posterior Deltoid
Shoulders Stretch Variation Three,insert,Shoulders Stretch Variation Three,,,None -> Stretches,,None -> Beginner,None -> Anterior Deltoid
Shoulders Stretch Variation Two,insert,Shoulders Stretch Variation Two,,None -> Hold,None -> Stretches,None -> Isolation,None -> Beginner,None -> Anterior Deltoid; Posterior Deltoid
Shoulders Stretch Variation One,insert,Shoulders Stretch Variation One,,,None -> Stretches,,None -> Beginner,None -> Lateral Deltoid; Anterior Deltoid
Lats Stretch Variation Three,insert,Lats Stretch Variation Three,,,None -> Stretches,,None -> Beginner,
Lats Stretch Variation Two,insert,Lats Stretch Variation Two,,,None -> Stretches,,None -> Beginner,
Lats Stretch Variation One,insert,Lats Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Hamstrings Stretch Variation Four,insert,Hamstrings Stretch Variation Four,,,None -> Stretches,,None -> Beginner,
Hamstrings Stretch Variation Three,insert,Hamstrings Stretch Variation Three,,,None -> Stretches,,None -> Beginner,
Hamstrings Stretch Variation Two,insert,Hamstrings Stretch Variation Two,,,None -> Stretches,,None -> Beginner,
Hamstrings Stretch Variation One,insert,Hamstrings Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Glutes Stretch Variation Three,insert,Glutes Stretch Variation Three,,,None -> Stretches,,None -> Beginner,
Glutes Stretch Variation Two,insert,Glutes Stretch Variation Two,,,None -> Stretches,,None -> Beginner,
Glutes Stretch Variation One,insert,Glutes Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Forearms Stretch Variation Four,insert,Forearms Stretch Variation Four,,,None -> Stretches,,None -> Beginner,
Forearms Stretch Variation Three,insert,Forearms Stretch Variation Three,,,None -> Stretches,,None -> Beginner,
Forearms Stretch Variation Two,insert,Forearms Stretch Variation Two,,,None -> Stretches,,None -> Beginner,
Forearms Stretch Variation One,insert,Forearms Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Calves Stretch Variation Three,insert,Calves Stretch Variation Three,,,None -> Stretches,,None -> Beginner,
Calves Stretch Variation Two,insert,Calves Stretch Variation Two,,,None -> Stretches,,None -> Beginner,
Calves Stretch Variation One,insert,Calves Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Abdominals Stretch Variation Four,insert,Abdominals Stretch Variation Four,,,None -> Stretches,,None -> Beginner,
Abdominals Stretch Variation Three,insert,Abdominals Stretch Variation Three,,,None -> Stretches,,None -> Beginner,None -> Obliques
Abdominals Stretch Variation Two,insert,Abdominals Stretch Variation Two,,,None -> Stretches,,None -> Beginner,None -> Obliques
Abdominals Stretch Variation One,insert,Abdominals Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Lower back Stretch Variation Four,insert,Lower back Stretch Variation Four,,,None -> Stretches,,None -> Beginner,
Lower back Stretch Variation Three,insert,Lower back Stretch Variation Three,,,None -> Stretches,,None -> Beginner,
Lower back Stretch Variation Two,insert,Lower back Stretch Variation Two,,,None -> Stretches,,None -> Beginner,
Lower back Stretch Variation One,insert,Lower back Stretch Variation One,,,None -> Stretches,,None -> Beginner,
Traps mid back Stretch Variation Two,insert,Traps mid back Stretch Variation Two,,,None -> Stretches,,None -> Beginner,None -> Traps (mid-back)
Traps mid back Stretch Variation One,insert,Traps mid back Stretch Variation One,,,None -> Stretches,,None -> Beginner,None -> Traps (mid-back)
Push Up,update,Push Up,,push -> Push,bodyweight -> Bodyweight,compound -> Compound,beginner -> Beginner,pectoralis major sternal head -> Chest; Anterior Deltoid
Inverted Row,update,Inverted Row,,pull -> Pull,machine -> Bodyweight,compound -> Compound,beginner -> Beginner,latissimus-dorsi -> Traps (mid-back)
Chin Ups,update,Chin Ups,,pull -> Pull,machine -> Bodyweight,compound -> Compound,intermediate -> Intermediate,
Incline Push Up,update,Incline Push Up,,push -> Push,bodyweight -> Bodyweight,compound -> Compound,beginner -> Beginner,pectoralis major clavicular -> Chest
Decline Push Up,update,Decline Push Up,,push -> Push,bodyweight -> Bodyweight,compound -> Compound,beginner -> Beginner,pectoralis major sternal head -> Chest
Elevated Pike Shoulder Shrug,insert,Elevated Pike Shoulder Shrug,,,None -> Bodyweight,,None -> Intermediate,None -> Upper Traps
Side Lunges,insert,Side Lunges,,,None -> Bodyweight,,None -> Beginner,
Forward Lunges,update,Forward Lunges,,push -> Push,bodyweight -> Bodyweight,compound -> Compound,novice -> Beginner,
Jump Squats,insert,Jump Squats,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Bodyweight Squat,update,Bodyweight Squat,,push -> Push,bodyweight -> Bodyweight,compound -> Compound,novice -> Beginner,
Diamond Push Ups,insert,Diamond Push Ups,,None -> Push,None -> Bodyweight,None -> Compound,None -> Beginner,
Good Mornings,insert,Good Mornings,,None -> Pull,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Gluteus Maximus; Lateral Hamstrings
Supermans,insert,Supermans,,None -> Pull,None -> Bodyweight,None -> Isolation,None -> Beginner,
Kickbacks,insert,Kickbacks,,,None -> Bodyweight,,None -> Beginner,
Single Legged Romanian Deadlifts,insert,Single Legged Romanian Deadlifts,,None -> Pull,None -> Bodyweight,None -> Compound,None -> Beginner,None -> Gluteus Maximus; Lateral Hamstrings
Elevated Pike Press,insert,Elevated Pike Press,,None -> Push,None -> Bodyweight,None -> Compound,None -> Intermediate,None -> Traps (mid-back); Lateral Deltoid; Anterior Deltoid; Upper Traps
Tip Toe Walking,insert,Tip Toe Walking,,,None -> Bodyweight,,None -> Beginner,None -> Gastrocnemius
Calf Raises,insert,Calf Raises,,None -> Push,None -> Bodyweight,None -> Isolation,None -> Beginner,
Forearm Plank,update,Forearm Plank,,hold -> Hold,bodyweight -> Bodyweight,isolation -> Isolation,novice -> Beginner,
Hanging Knee Raises,update,Hanging Knee Raises,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,beginner -> Beginner,
Walking Calf Raises,insert,Walking Calf Raises,,None -> Push,None -> Bodyweight,None -> Isolation,None -> Beginner,
Nordic Hamstring Curl,update,Nordic Hamstring Curl,,pull -> Pull,bodyweight -> Bodyweight,isolation -> Isolation,intermediate -> Intermediate,
Barbell Roll Outs,update,Barbell Roll Outs,,pull -> Pull,barbell -> Barbell,isolation -> Isolation,advanced -> Advanced,rectus abdominis -> Lower Abdominals; Upper Abdominals
Barbell Calf Raises,insert,Barbell Calf Raises,,None -> Push,None -> Barbell,None -> Isolation,None -> Intermediate,
Barbell Close Grip Bench Press,update,Barbell Close Grip Bench Press,,push -> Push,barbell -> Barbell,compound -> Compound,intermediate -> Intermediate,triceps brachii -> Chest
Barbell Curtsy Lunge,update,Barbell Curtsy Lunge,,push -> Push,barbell -> Barbell,compound -> Compound,advanced -> Advanced,quadriceps -> Gluteus Medius
Barbell Silverback Shrug,update,Barbell Silverback Shrug,,pull -> Pull,barbell -> Barbell,isolation -> Isolation,intermediate -> Intermediate,
Barbell Landmine Side Bend,insert,Barbell Landmine Side Bend,,None -> Pull,None -> Barbell,None -> Isolation,None -> Intermediate,None -> Obliques
Cable Pec Fly,update,Cable Pec Fly,,push -> Push,cable -> Cables,isolation -> Isolation,beginner -> Beginner,pectoralis major sternal head -> Chest
Cable Chest Press,update,Cable Chest Press,,push -> Push,cable -> Cables,compound -> Compound,beginner -> Beginner,pectoralis major sternal head -> Chest; Anterior Deltoid
Cable Goblet Squat,update,Cable Goblet Squat,,push -> Push,cable -> Cables,compound -> Compound,novice -> Beginner,
Cable Split Squat,insert,Cable Split Squat,,None -> Push,None -> Cables,None -> Compound,None -> Advanced,
Cable Bar Romanian Deadlift,update,Cable Bar Romanian Deadlift,,pull -> Pull,cable -> Cables,compound -> Compound,beginner -> Beginner,None -> Gluteus Maximus; Lateral Hamstrings
Cable Single Leg Deadlift,update,Cable Single Leg Deadlift,,pull -> Pull,cable -> Cables,compound -> Compound,advanced -> Advanced,gluteus maximus -> Gluteus Maximus; Lateral Hamstrings
Cable Pull Through,update,Cable Pull Through,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,None -> Gluteus Maximus; Lateral Hamstrings
Cable Standing Hip Abduction,update,Cable Standing Hip Abduction,,push -> Push,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Standing Straight Leg Glute Kickback,update,Cable Standing Straight Leg Glute Kickback,,push -> Push,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Hamstring Curl,update,Cable Hamstring Curl,,,cable -> Cables,,advanced -> Advanced,None -> Medial Hamstrings
Cable Overhead Press,update,Cable Overhead Press,,push -> Push,cable -> Cables,compound -> Compound,novice -> Beginner,anterior deltoid -> Anterior Deltoid; Lateral Deltoid
Cable Low Single Arm Lateral Raise,update,Cable Low Single Arm Lateral Raise,,push -> Push,cable -> Cables,isolation -> Isolation,novice -> Beginner,lateral deltoid -> Lateral Deltoid
Cable High Single Arm Rear Delt Fly,update,Cable High Single Arm Rear Delt Fly,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,posterior deltoid -> Posterior Deltoid
Cable Upright Row,update,Cable Upright Row,,pull -> Pull,cable -> Cables,compound -> Compound,advanced -> Advanced,lateral deltoid -> Lateral Deltoid
Cable Wrist Curl,insert,Cable Wrist Curl,,,None -> Cables,,None -> Beginner,
Cable Wrist Extension,insert,Cable Wrist Extension,,,None -> Cables,,None -> Beginner,
Cable Lat Prayer,update,Cable Lat Prayer,,pull -> Pull,cable -> Cables,isolation -> Isolation,advanced -> Advanced,
Cable Bent Over Bar Pullover,update,Cable Bent Over Bar Pullover,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Pull In,update,Cable Pull In,,pull -> Pull,cable -> Cables,compound -> Compound,novice -> Beginner,
Cable 30 Degree Shrug,update,Cable 30 Degree Shrug,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Silverback Shrug,update,Cable Silverback Shrug,,,cable -> Cables,,novice -> Beginner,None -> Traps (mid-back)
Cable Twisting Curl,update,Cable Twisting Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,advanced -> Advanced,
Cable Single Arm Bayesian Curl,update,Cable Single Arm Bayesian Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Single Arm Reverse Curl,update,Cable Single Arm Reverse Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Single Arm Hammer Curl,update,Cable Single Arm Hammer Curl,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Rope Pushdown,update,Cable Rope Pushdown,,push -> Push,cable -> Cables,isolation -> Isolation,novice -> Beginner,
Cable Cross Pushdown,update,Cable Cross Pushdown,,,cable -> Cables,,advanced -> Advanced,
Cable Rope Skullcrusher,update,Cable Rope Skullcrusher,,,cable -> Cables,,beginner -> Beginner,triceps brachii -> Long Head Tricep
Cable Rope Overhead Tricep Extension,update,Cable Rope Overhead Tricep Extension,,push -> Push,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Calve Raise,update,Cable Calve Raise,,,cable -> Cables,,beginner -> Beginner,gastrocnemius -> Gastrocnemius
Cable Standing Leg Extension,update,Cable Standing Leg Extension,,push -> Push,cable -> Cables,isolation -> Isolation,advanced -> Advanced,
Cable Wood Chopper,update,Cable Wood Chopper,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,obliques -> Obliques
Cable Standing Crunch,update,Cable Standing Crunch,,,cable -> Cables,,advanced -> Advanced,rectus abdominis -> Upper Abdominals
Cable Row Bar Kneeling Crunch,update,Cable Row Bar Kneeling Crunch,,pull -> Pull,cable -> Cables,isolation -> Isolation,beginner -> Beginner,
Cable Pallof Press,insert,Cable Pallof Press,,None -> Push,None -> Cables,None -> Isolation,None -> Beginner,None -> Obliques
Band Calf Raise,update,Band Calf Raise,,push -> Push,band -> Band,isolation -> Isolation,novice -> Beginner,gastrocnemius -> Gastrocnemius
Band Single Arm Pec Fly,update,Band Single Arm Pec Fly,,,band -> Band,,beginner -> Beginner,None -> Chest
