exercise_name,primary muscle group,secondary muscle group,tertiary muscle group,force,equipment,mechanic,difficulty,advanced_isolated_muscles
Pull Ups,Lats,Biceps; Traps (mid-back),Biceps,Pull,Bodyweight,Compound,Intermediate,Traps (mid-back)
Dumbbell Row Bilateral,Traps (mid-back); Lats,Biceps,Lower back,,Dumbbells,,Beginner,Traps (mid-back)
Barbell Stiff Leg Deadlifts,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Barbell,Compound,Intermediate,Gluteus Maximus; Lateral Hamstrings
Machine Hamstring Curl,Hamstrings,,,Pull,Machine,Isolation,Novice,
Glute Bridge,Glutes,,,,Bodyweight,,Novice,
Barbell Hip Thrust,Glutes,,,Push,Barbell,Compound,Beginner,
Barbell Behind The Back Wrist Curl,Forearms,,,,Barbell,,Intermediate,
Dumbbell Wrist Curl,Forearms,,,Pull,Dumbbells,Isolation,Novice,
Machine Standing Calf Raises,Calves,,,Push,Machine,Isolation,Novice,
Machine Seated Calf Raises,Calves,,,Push,Machine,Isolation,Novice,
Crunches,Abdominals,,,Push,Bodyweight,Isolation,Novice,
Laying Leg Raises,Abdominals,,,Pull,Bodyweight,Isolation,Novice,
Barbell Deadlift,Traps (mid-back); Lower back,Glutes,,Pull,Barbell,Compound,Intermediate,Traps (mid-back)
Machine 45 Degree Back Extension,Lower back,,,Pull,Machine,Isolation,Beginner,
Bulgarian Split Squat,Glutes; Quads,,,Push,Bodyweight,Compound,Beginner,
Smith Machine Standing Shrugs,Traps,,,Pull,Machine,Isolation,Beginner,
Barbell Laying Triceps Extensions,Triceps,,,,Barbell,,Intermediate,
Dumbbell Seated Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Dumbbells,Compound,Novice,Anterior Deltoid; Lateral Deltoid
Dumbbell Front Raise,Shoulders; Anterior Deltoid; Front Shoulders,,,Push,Dumbbells,Isolation,Novice,Anterior Deltoid
Dumbbell Seated Rear Delt Fly,Shoulders; Posterior Deltoid; Rear Shoulders,,,,Dumbbells,,Novice,Posterior Deltoid
Barbell Bent Over Row,Lats,Biceps,Forearms,Pull,Barbell,Compound,Intermediate,
Single Leg Glute Bridge,Glutes,,,,Bodyweight,,Beginner,
Barbell Wrist Curl,Forearms,,,,Barbell,,Novice,
Machine Roll Outs,Abdominals,,,,Machine,,Intermediate,
Barbell Incline Bench Press,Chest,Shoulders; Triceps,,Push,Barbell,Compound,Intermediate,Chest
Kettlebell Skull Crusher,Triceps,,,,Kettlebells,,Intermediate,
Kettlebell Situp,Abdominals,,,,Kettlebells,,Beginner,
Kettlebell Russian Twist,Obliques,Abdominals,,,Kettlebells,,Novice,Obliques
Kettlebell Wood Chopper,Obliques,,,Pull,Kettlebells,Isolation,Beginner,Obliques
Kettlebell Windmill,Obliques,Abdominals,,Push,Kettlebells,Isolation,Advanced,Obliques
Kettlebell Goblet Curl,Biceps,,,,Kettlebells,,Novice,
Kettlebell Concentration Curl,Biceps,,,Pull,Kettlebells,Isolation,Intermediate,
Kettlebell Preacher Curl,Biceps; Short Head Bicep,,,Pull,Kettlebells,Isolation,Intermediate,Short Head Bicep
Kettlebell Single Leg Calf Raise,Calves,,,Push,Kettlebells,Isolation,Beginner,
Kettlebell Calf Raise,Calves; Gastrocnemius,,,,Kettlebells,,Novice,Gastrocnemius
Kettlebell Seated Calf Raise,Calves,,,Push,Kettlebells,Isolation,Novice,
Kettlebell Chest Press (Single),Chest,Triceps,,Push,Kettlebells,Compound,Beginner,Chest
Kettlebell Single Arm Chest Fly,Chest,,,,Kettlebells,,Beginner,Chest
Kettlebell Single Arm Press,Chest,Triceps,,Push,Kettlebells,Compound,Beginner,Chest
Kettlebell Walkover Pushup,Chest,Triceps,,Push,Kettlebells,Compound,Advanced,Chest
Kettlebell Farmers Carry,Forearms,,,Pull,Kettlebells,Compound,Beginner,
Kettlebell Wrist Extension,Forearms,,,,Kettlebells,,Novice,
Kettlebell Wrist Curl,Forearms,,,,Kettlebells,,Novice,
Kettlebell Glute Bridge,Glutes,,,,Kettlebells,,Novice,
Kettlebell Single Leg Glute Bridge,Glutes,,,,Kettlebells,,Intermediate,
Kettlebell Hip Thrust,Glutes,,,,Kettlebells,,Novice,
Kettlebell Single Leg Hip Thrust,Glutes,,,,Kettlebells,,Advanced,
Kettlebell Deadlift (Single),Traps (mid-back); Glutes; Hamstrings,Lower back,,Pull,Kettlebells,Compound,Beginner,Traps (mid-back)
Kettlebell Swing,Glutes; Hamstrings,Lower back,,Pull,Kettlebells,Compound,Intermediate,
Kettlebell Row (Single),Traps (mid-back); Lats,Biceps,Forearms,Pull,Kettlebells,Compound,Beginner,Traps (mid-back)
Kettlebell Single Leg Deadlift,Glutes; Hamstrings,Lower back,,Pull,Kettlebells,Compound,Advanced,
Kettlebell Shoulder Extension,Lats,,,,Kettlebells,,Intermediate,
Kettlebell Staggered Deadlift (Single),Glutes; Hamstrings,Lower back,,Pull,Kettlebells,Compound,Beginner,
Kettlebell Goblet Good Morning,Glutes; Hamstrings,Lower back,,Pull,Kettlebells,Compound,Novice,
Kettlebell Rear Delt Row,Shoulders; Posterior Deltoid; Rear Shoulders,Biceps,,Pull,Kettlebells,Compound,Novice,Posterior Deltoid
Kettlebell Front Raise,Shoulders; Anterior Deltoid; Front Shoulders,,,Push,Kettlebells,Isolation,Novice,Anterior Deltoid
Kettlebell Single Arm Rear Delt Fly,Shoulders; Posterior Deltoid; Rear Shoulders,,,,Kettlebells,,Intermediate,Posterior Deltoid
Kettlebell Single Arm Curl,Biceps,,,,Kettlebells,,Beginner,
Kettlebell Standing Tricep Extension,Triceps,,,Push,Kettlebells,Isolation,Novice,
Kettlebell Decline Skull Crusher,Triceps,,,Push,Kettlebells,Isolation,Advanced,
Kettlebell Single Arm Row,Lats,Biceps,Forearms,Pull,Kettlebells,Compound,Novice,
Kettlebell Pullover,Lats,,,,Kettlebells,,Advanced,
Kettlebell Long Lever Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,,Kettlebells,,Intermediate,Lateral Deltoid
Kettlebell Single Arm Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,,Kettlebells,,Beginner,Lateral Deltoid
Kettlebell Shrug (Single),Traps,,,Pull,Kettlebells,Isolation,Novice,
Kettlebell Upright Row,Shoulders; Lateral Deltoid; Traps; Front Shoulders,,,Pull,Kettlebells,Isolation,Novice,Lateral Deltoid
Kettlebell Silverback Shrug (Single),Traps,Traps (mid-back),,Pull,Kettlebells,Isolation,Beginner,Traps (mid-back)
Kettlebell Incline Shrug,Traps (mid-back),Traps,,Pull,Kettlebells,Isolation,Beginner,Traps (mid-back)
Kettlebell Step Up,Glutes; Quads,,,Push,Kettlebells,Compound,Beginner,
Kettlebell Goblet Squat,Glutes; Quads,Lower back,,Push,Kettlebells,Compound,Novice,
Kettlebell Heels Up Goblet Squat,Glutes; Quads,,,Push,Kettlebells,Compound,Novice,
Kettlebell Single Arm Reverse Lunge,Glutes; Quads,,,Push,Kettlebells,Compound,Beginner,
Kettlebell Single Arm Forward Lunge,Glutes; Quads,,,Push,Kettlebells,Compound,Beginner,
Kettlebell Lateral Lunge (Single),Glutes; Gluteus Medius; Quads,,,Push,Kettlebells,Compound,Intermediate,Gluteus Medius
Kettlebell Tate Press,Triceps,,,,Kettlebells,,Intermediate,
Biceps Stretch Variation Five,Biceps,,,Hold,Stretches,Isolation,Novice,
Biceps Stretch Variation Four,Biceps,,,Hold,Stretches,Isolation,Novice,
Biceps Stretch Variation Three,Biceps,,,Hold,Stretches,Isolation,Novice,
Biceps Stretch Variation Two,Biceps,,,Hold,Stretches,Isolation,Novice,
Biceps Stretch Variation One,Biceps,,,,Stretches,,Novice,
Chest Stretch Variation Four,Chest,,,,Stretches,,Novice,Chest
Chest Stretch Variation Three,Chest,,,,Stretches,,Novice,Chest
Chest Stretch Variation Two,Chest,,,,Stretches,,Novice,Chest
Chest Stretch Variation One,Chest,,,,Stretches,,Novice,Chest
Quads Stretch Variation Four,Quads,,,,Stretches,,Novice,
Quads Stretch Variation Three,Quads,,,,Stretches,,Novice,
Quads Stretch Variation Two,Quads,,,,Stretches,,Novice,
Quads Stretch Variation One,Quads,,,,Stretches,,Novice,
Traps Stretch Variation Three,Traps,,,,Stretches,,Novice,
Traps Stretch Variation Two,Traps,,,,Stretches,,Novice,
Traps Stretch Variation One,Traps,,,,Stretches,,Novice,
Triceps Stretch Variation Three,Triceps,,,,Stretches,,Novice,
Triceps Stretch Variation Two,Triceps,,,,Stretches,,Novice,
Triceps Stretch Variation One,Triceps,,,,Stretches,,Novice,
Shoulders Stretch Variation Four,Shoulders; Posterior Deltoid; Rear Shoulders,,,Hold,Stretches,Isolation,Beginner,Posterior Deltoid
Shoulders Stretch Variation Three,Shoulders; Anterior Deltoid; Front Shoulders,,,,Stretches,,Novice,Anterior Deltoid
Shoulders Stretch Variation Two,Shoulders; Anterior Deltoid; Posterior Deltoid; Front Shoulders; Rear Shoulders,,,Hold,Stretches,Isolation,Beginner,Anterior Deltoid; Posterior Deltoid
Shoulders Stretch Variation One,Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,,,,Stretches,,Novice,Lateral Deltoid; Anterior Deltoid
Lats Stretch Variation Three,Lats,,,,Stretches,,Novice,
Lats Stretch Variation Two,Lats,,,,Stretches,,Novice,
Lats Stretch Variation One,Lats,,,,Stretches,,Novice,
Hamstrings Stretch Variation Four,Hamstrings,,,,Stretches,,Beginner,
Hamstrings Stretch Variation Three,Hamstrings,,,,Stretches,,Beginner,
Hamstrings Stretch Variation Two,Hamstrings,,,,Stretches,,Beginner,
Hamstrings Stretch Variation One,Hamstrings,,,,Stretches,,Beginner,
Glutes Stretch Variation Three,Glutes,,,,Stretches,,Novice,
Glutes Stretch Variation Two,Glutes,,,,Stretches,,Novice,
Glutes Stretch Variation One,Glutes,,,,Stretches,,Novice,
Forearms Stretch Variation Four,Forearms,,,,Stretches,,Novice,
Forearms Stretch Variation Three,Forearms,,,,Stretches,,Novice,
Forearms Stretch Variation Two,Forearms,,,,Stretches,,Novice,
Forearms Stretch Variation One,Forearms,,,,Stretches,,Novice,
Calves Stretch Variation Three,Calves,,,,Stretches,,Beginner,
Calves Stretch Variation Two,Calves,,,,Stretches,,Beginner,
Calves Stretch Variation One,Calves,,,,Stretches,,Beginner,
Abdominals Stretch Variation Four,Abdominals,,,,Stretches,,Beginner,
Abdominals Stretch Variation Three,Abdominals; Obliques,,,,Stretches,,Novice,Obliques
Abdominals Stretch Variation Two,Abdominals; Obliques,,,,Stretches,,Novice,Obliques
Abdominals Stretch Variation One,Abdominals,,,,Stretches,,Novice,
Lower back Stretch Variation Four,Lower back,,,,Stretches,,Novice,
Lower back Stretch Variation Three,Lower back,,,,Stretches,,Novice,
Lower back Stretch Variation Two,Lower back,,,,Stretches,,Novice,
Lower back Stretch Variation One,Lower back,,,,Stretches,,Novice,
Traps mid back Stretch Variation Two,Traps (mid-back),,,,Stretches,,Beginner,Traps (mid-back)
Traps mid back Stretch Variation One,Traps (mid-back),,,,Stretches,,Beginner,Traps (mid-back)
Push Up,Chest,Anterior Deltoid; Triceps,,Push,Bodyweight,Compound,Beginner,Chest; Anterior Deltoid
Inverted Row,Traps (mid-back); Lats,Biceps,Forearms,Pull,Bodyweight,Compound,Beginner,Traps (mid-back)
Chin Ups,Lats,Biceps,Forearms,Pull,Bodyweight,Compound,Intermediate,
Incline Push Up,Chest,Triceps,,Push,Bodyweight,Compound,Beginner,Chest
Decline Push Up,Chest,Triceps,,Push,Bodyweight,Compound,Beginner,Chest
Elevated Pike Shoulder Shrug,Traps; Upper Traps,,,,Bodyweight,,Intermediate,Upper Traps
Side Lunges,Quads,Glutes,,,Bodyweight,,Novice,
Forward Lunges,Glutes; Quads,,,Push,Bodyweight,Compound,Novice,
Jump Squats,Glutes; Quads,,,Push,Bodyweight,Compound,Beginner,
Bodyweight Squat,Glutes; Quads,Groin,,Push,Bodyweight,Compound,Novice,
Diamond Push Ups,Triceps,,,Push,Bodyweight,Compound,Beginner,
Good Mornings,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Bodyweight,Compound,Novice,Gluteus Maximus; Lateral Hamstrings
Supermans,Lower back,,,Pull,Bodyweight,Isolation,Beginner,
Kickbacks,Hamstrings,,,,Bodyweight,,Novice,
Single Legged Romanian Deadlifts,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Bodyweight,Compound,Beginner,Gluteus Maximus; Lateral Hamstrings
Elevated Pike Press,Traps (mid-back); Shoulders; Lateral Deltoid; Anterior Deltoid; Front Shoulders,Traps; Upper Traps,Triceps,Push,Bodyweight,Compound,Intermediate,Traps (mid-back); Lateral Deltoid; Anterior Deltoid; Upper Traps
Tip Toe Walking,Calves; Gastrocnemius,,,,Bodyweight,,Novice,Gastrocnemius
Calf Raises,Calves,,,Push,Bodyweight,Isolation,Novice,
Forearm Plank,Abdominals,,,Hold,Bodyweight,Isolation,Novice,
Hanging Knee Raises,Abdominals,,,Pull,Bodyweight,Isolation,Beginner,
Walking Calf Raises,Calves,,,Push,Bodyweight,Isolation,Novice,
Nordic Hamstring Curl,Hamstrings,,,Pull,Bodyweight,Isolation,Intermediate,
Barbell Roll Outs,Abdominals; Lower Abdominals; Upper Abdominals,,,Pull,Barbell,Isolation,Advanced,Lower Abdominals; Upper Abdominals
Barbell Calf Raises,Calves,,,Push,Barbell,Isolation,Intermediate,
Barbell Close Grip Bench Press,Triceps,Chest,,Push,Barbell,Compound,Intermediate,Chest
Barbell Curtsy Lunge,Glutes; Gluteus Medius; Quads,,,Push,Barbell,Compound,Advanced,Gluteus Medius
Barbell Silverback Shrug,Traps,,,Pull,Barbell,Isolation,Intermediate,
Barbell Landmine Side Bend,Obliques,,,Pull,Barbell,Isolation,Intermediate,Obliques
Cable Pec Fly,Chest,,,Push,Cables,Isolation,Beginner,Chest
Cable Chest Press,Chest,Anterior Deltoid; Triceps,,Push,Cables,Compound,Novice,Chest; Anterior Deltoid
Cable Goblet Squat,Glutes; Quads,Lower back,,Push,Cables,Compound,Novice,
Cable Split Squat,Glutes; Quads,,,Push,Cables,Compound,Advanced,
Cable Bar Romanian Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Cables,Compound,Beginner,Gluteus Maximus; Lateral Hamstrings
Cable Single Leg Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Cables,Compound,Advanced,Gluteus Maximus; Lateral Hamstrings
Cable Pull Through,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Cables,Isolation,Beginner,Gluteus Maximus; Lateral Hamstrings
Cable Standing Hip Abduction,Glutes,,,Push,Cables,Isolation,Beginner,
Cable Standing Straight Leg Glute Kickback,Lower back; Glutes,,,Push,Cables,Isolation,Beginner,
Cable Hamstring Curl,Hamstrings; Medial Hamstrings,,,,Cables,,Advanced,Medial Hamstrings
Cable Overhead Press,Shoulders; Anterior Deltoid; Front Shoulders,Lateral Deltoid; Triceps,,Push,Cables,Compound,Novice,Anterior Deltoid; Lateral Deltoid
Cable Low Single Arm Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Push,Cables,Isolation,Novice,Lateral Deltoid
Cable High Single Arm Rear Delt Fly,Shoulders; Posterior Deltoid; Rear Shoulders,,,Pull,Cables,Isolation,Beginner,Posterior Deltoid
Cable Upright Row,Shoulders; Lateral Deltoid; Front Shoulders,Traps,,Pull,Cables,Compound,Advanced,Lateral Deltoid
Cable Wrist Curl,Forearms,,,,Cables,,Beginner,
Cable Wrist Extension,Forearms,,,,Cables,,Beginner,
Cable Lat Prayer,Lats,,,Pull,Cables,Isolation,Advanced,
Cable Bent Over Bar Pullover,Lats,,,Pull,Cables,Isolation,Beginner,
Cable Pull In,Lats,Biceps,,Pull,Cables,Compound,Novice,
Cable 30 Degree Shrug,Traps,,,Pull,Cables,Isolation,Beginner,
Cable Silverback Shrug,Traps (mid-back),Traps,,,Cables,,Novice,Traps (mid-back)
Cable Twisting Curl,Biceps,,,Pull,Cables,Isolation,Advanced,
Cable Single Arm Bayesian Curl,Biceps,,,Pull,Cables,Isolation,Beginner,
Cable Single Arm Reverse Curl,Biceps,Forearms,,Pull,Cables,Isolation,Beginner,
Cable Single Arm Hammer Curl,Biceps,,,Pull,Cables,Isolation,Beginner,
Cable Rope Pushdown,Triceps,,,Push,Cables,Isolation,Novice,
Cable Cross Pushdown,Triceps,,,,Cables,,Advanced,
Cable Rope Skullcrusher,Triceps; Long Head Tricep,,,,Cables,,Beginner,Long Head Tricep
Cable Rope Overhead Tricep Extension,Triceps,,,Push,Cables,Isolation,Beginner,
Cable Calve Raise,Calves; Gastrocnemius,,,,Cables,,Beginner,Gastrocnemius
Cable Standing Leg Extension,Quads,,,Push,Cables,Isolation,Advanced,
Cable Wood Chopper,Obliques,,,Pull,Cables,Isolation,Beginner,Obliques
Cable Standing Crunch,Abdominals; Upper Abdominals,,,,Cables,,Advanced,Upper Abdominals
Cable Row Bar Kneeling Crunch,Abdominals,,,Pull,Cables,Isolation,Beginner,
Cable Pallof Press,Obliques,,,Push,Cables,Isolation,Beginner,Obliques
Band Calf Raise,Calves; Gastrocnemius,,,Push,Band,Isolation,Novice,Gastrocnemius
Band Single Arm Pec Fly,Chest,,,,Band,,Beginner,Chest
Band Single Arm Chest Press,Chest,Triceps,,Push,Band,Compound,Beginner,Chest
Band Wood Chopper,Obliques,,,Pull,Band,Isolation,Advanced,Obliques
Band Face Pull,Shoulders; Posterior Deltoid; Rear Shoulders,,,,Band,,Novice,Posterior Deltoid
Band Spanish Squat,Glutes; Quads,,,Push,Band,Compound,Advanced,
Band Crunch,Abdominals; Upper Abdominals,,,Pull,Band,Isolation,Intermediate,Upper Abdominals
Band Bayesian Curl,Biceps; Long Head Bicep,,,Pull,Band,Isolation,Beginner,Long Head Bicep
Band Front Raise,Shoulders; Anterior Deltoid; Front Shoulders,,,Push,Band,Isolation,Novice,Anterior Deltoid
Band Good Morning,Glutes; Hamstrings,Lower back,,Push,Band,Compound,Novice,
Band Bayesian Hammer Curl,Biceps; Long Head Bicep; Forearms,Long Head Bicep,,,Band,,Intermediate,Long Head Bicep
Band Horizontal Shrug,Traps (mid-back); Traps,,,Pull,Band,Isolation,Novice,Traps (mid-back)
Band Glute Kickback,Glutes,,,Push,Band,Isolation,Beginner,
Band Kneeling Single Arm Pulldown,Lats,Biceps,,Pull,Band,Compound,Novice,
Band Lateral Raise,Shoulders; Lateral Deltoid; Front Shoulders,,,Push,Band,Isolation,Novice,Lateral Deltoid
Band Leg Press,Glutes; Quads,,,Push,Band,Compound,Advanced,
Band Overhead Tricep Extension,Triceps,,,Push,Band,Isolation,Advanced,
Band Pallof Press,Obliques,,,Push,Band,Isolation,Beginner,Obliques
Band Pull Apart,Shoulders; Posterior Deltoid; Rear Shoulders,Traps (mid-back),,Pull,Band,Isolation,Novice,Posterior Deltoid; Traps (mid-back)
Band Pullover,Lats,,,Pull,Band,Isolation,Novice,
Band Pullthrough,Glutes; Hamstrings,Lower back,,Pull,Band,Compound,Beginner,
Band Pushdown,Triceps,,,,Band,,Novice,
Band Pushup,Chest,Triceps,,Push,Band,Compound,Intermediate,Chest
Band Romanian Deadlift,Glutes; Hamstrings,Lower back,,Pull,Band,Compound,Novice,
Band Bayesian Reverse Curl,Biceps; Long Head Bicep,Forearms,,Pull,Band,Isolation,Beginner,Long Head Bicep
Band Row,Lats,Biceps,,Pull,Band,Compound,Novice,
Band Single Arm Overhead Press,Shoulders; Lateral Deltoid; Anterior Deltoid; Triceps; Traps; Front Shoulders,Triceps,Traps,Push,Band,Compound,Novice,Lateral Deltoid; Anterior Deltoid
Band Shrug,Traps,,,Pull,Band,Isolation,Novice,
Band Skullcrusher,Triceps,,,Push,Band,Isolation,Advanced,
Band Squat,Glutes; Quads,,,Push,Band,Compound,Novice,
Dumbbell Reverse Curl,Biceps,Forearms,,Pull,Dumbbells,Isolation,Novice,
Dumbbell Row Unilateral,Traps (mid-back); Lats,Biceps,Forearms,Pull,Dumbbells,Compound,Novice,Traps (mid-back)
Dumbbell Goblet Good Morning,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Dumbbells,Compound,Beginner,Gluteus Maximus; Lateral Hamstrings
Dumbbell Goblet Bulgarian Split Squat,Glutes; Quads,,,Push,Dumbbells,Compound,Intermediate,
Dumbbell Skullcrusher,Triceps; Long Head Tricep,,,Push,Dumbbells,Isolation,Beginner,Long Head Tricep
Dumbbell Hip Thrust,Glutes,,,,Dumbbells,,Novice,
Dumbbell Wood Chopper,Obliques,,,Pull,Dumbbells,Isolation,Intermediate,Obliques
Dumbbell Situp,Abdominals,,,,Dumbbells,,Intermediate,
Dumbbell Russian Twist,Obliques,Abdominals,,Pull,Dumbbells,Isolation,Intermediate,Obliques
Dumbbell Shrug,Traps,,,Pull,Dumbbells,Isolation,Novice,
Dumbbell Romanian Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Dumbbells,Compound,Beginner,Gluteus Maximus; Lateral Hamstrings
Dumbbell Plank Pullthrough,Abdominals,,,,Dumbbells,,Intermediate,
Dumbbell Glute Bridge,Glutes; Hamstrings; Quads,,,,Dumbbells,,Novice,
Dumbbell Calf Raise,Calves,,,Push,Dumbbells,Isolation,Novice,
Barbell Bulgarian Split Squat,Glutes; Quads,,,,Barbell,,Advanced,
Barbell Floor Press,Triceps,Chest,,Push,Barbell,Compound,Advanced,Chest
Barbell Front Raise,Shoulders; Anterior Deltoid; Front Shoulders,,,Push,Barbell,Isolation,Intermediate,Anterior Deltoid
Barbell Front Squat Olympic,Glutes; Quads,Abdominals,,Push,Barbell,Compound,Advanced,
Barbell Front Squat Bodybuilding,Glutes; Quads,Abdominals,,Push,Barbell,Compound,Advanced,
Barbell High Bar Good Morning,Glutes; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Barbell,Compound,Advanced,Lateral Hamstrings
Barbell Low Bar Good Morning,Hamstrings; Lateral Hamstrings,Glutes,Lower back,Pull,Barbell,Isolation,Advanced,Lateral Hamstrings
Barbell Overhead Press,Shoulders; Front Shoulders,Triceps,,Push,Barbell,Compound,Intermediate,
Barbell Upright Row,Shoulders; Lateral Deltoid; Front Shoulders,Anterior Deltoid; Traps,,Pull,Barbell,Isolation,Advanced,Lateral Deltoid; Anterior Deltoid
Barbell Sumo Deadlift,Glutes,Quads,Lower back,Pull,Barbell,Compound,Intermediate,
Barbell Staggered Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Barbell,Compound,Advanced,Gluteus Maximus; Lateral Hamstrings
Barbell Skullcrusher,Triceps,,,,Barbell,,Intermediate,
Barbell Single Leg Deadlift,Glutes; Gluteus Maximus; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Barbell,Compound,Advanced,Gluteus Maximus; Lateral Hamstrings
Barbell Situp,Abdominals,,,Push,Barbell,Isolation,Intermediate,
Barbell Reverse Curl,Biceps,Forearms,,Pull,Barbell,Isolation,Advanced,
Barbell Overhead Tricep Extension,Triceps,,,,Barbell,,Advanced,
Barbell Romanian Deadlift,Glutes; Hamstrings; Lateral Hamstrings,Lower back,,Pull,Barbell,Compound,Intermediate,Lateral Hamstrings
Barbell High Bar Squat,Glutes; Quads,,,Push,Barbell,Compound,Beginner,
Barbell Low Bar Squat,Glutes; Quads,Lower back,,Push,Barbell,Compound,Intermediate,
Dumbbell Wrist Extension,Forearms,,,Pull,Dumbbells,Isolation,Novice,
Dumbbell Bulgarian Split Squat,Glutes; Quads,,,Push,Dumbbells,Compound,Intermediate,
Dumbbell Rear Delt Row,Shoulders; Posterior Deltoid; Rear Shoulders,Traps (mid-back),Biceps,Pull,Dumbbells,Compound,Intermediate,Posterior Deltoid; Traps (mid-back)
Bodyweight Russian Twist,Obliques,Abdominals,,Pull,Bodyweight,Isolation,Beginner,Obliques
Side Plank Up Down,Obliques,,,Pull,Bodyweight,Isolation,Intermediate,Obliques
Side Plank Reach Through,Obliques,,,Pull,Bodyweight,Isolation,Advanced,Obliques
Long Lever Plank,Abdominals,,,Hold,Bodyweight,Isolation,Advanced,
Elbow Side Plank,Obliques,,,Hold,Bodyweight,Isolation,Novice,Obliques
Hand Side Plank,Obliques,,,Hold,Bodyweight,Isolation,Beginner,Obliques
Hand Plank,Abdominals,,,Hold,Bodyweight,Isolation,Novice,
Hollow Hold,Abdominals,,,Hold,Bodyweight,Isolation,Intermediate,
Barbell Calf Jump,Calves,,,Push,Barbell,Isolation,Advanced,
Barbell Coan Deadlift,Glutes; Quads,Lower back,,Pull,Barbell,Compound,Intermediate,
Barbell Forward Lunge,Glutes; Quads,,,Push,Barbell,Compound,Advanced,
Barbell Front Rack Step Up,Glutes; Quads,,,Push,Barbell,Compound,Advanced,
Barbell Glute Bridge,Glutes,,,Push,Barbell,Compound,Beginner,
Barbell Heels Up Back Squat,Glutes; Quads,,,Push,Barbell,Compound,Advanced,
Barbell Heels Up Front Squat,Glutes; Quads,,,Push,Barbell,Compound,Advanced,
Barbell Hooklying Bench Press,Chest,Triceps,Abdominals,Push,Barbell,Compound,Advanced,Chest
Barbell Landmine Row,Traps (mid-back); Lats,Biceps,Forearms,Pull,Barbell,Compound,Intermediate,Traps (mid-back)
Barbell Larsen Bench Press,Chest,Triceps,Abdominals,Push,Barbell,Compound,Advanced,Chest
Barbell Lateral Lunge,Glutes; Quads,,,Push,Barbell,Compound,Advanced,
Barbell Long Landmine Row,Lats,Biceps,Forearms,Pull,Barbell,Compound,Advanced,
